Unified_Date,Person,Outlet,Unified_Narrative,Unified_Tone
2018-04-01,Elon Musk,Washington Times,"Musk deletes company
pages; contrasted with
Zuckerberg.","Musk deletes company
pages; contrasted with
Zuckerberg."
2018-04-10,Peter Thiel,Washington Times,"Thiel gives direct quotes criticizing the Army's ""DCGS"" system. TWT serves as the venue for his war against Pentagon bureaucracy.",Sympathetic / Reformist
2018-04-10,Ellison Family,Washington Times,"Extensive coverage of Oracle lobbying against Amazon for the Pentagon cloud contract. Ellison framed as a whistleblower exposing the ""Deep State"" swamp.",Aggressive / Anti-Bureaucracy
2018-08-01,Elon Musk,Washington Times,"""Funding Secured""
tweet triggers legal
scrutiny coverage.","""Funding Secured""
tweet triggers legal
scrutiny coverage."
2018-12-01,Elon Musk,Washington Times,"Debates on Autopilot
safety claims covered
in Washington Times.","Debates on Autopilot
safety claims covered
in Washington Times."
2019-05-15,Donald Trump,Washington Times,"Reports on a plan to ""forcibly displace"" Palestinians to redevelop Gaza as a real estate asset. Treated as a bold geopolitical realignment.",Transactional / Neo-Colonial
2019-07-15,Peter Thiel,Washington Times,"Thiel accuses Google of being ""seemingly treasonous"" for China work. TWT amplifies his call for CIA/FBI investigations.",Aggressive / Patriot
2019-09-26,Donald Trump,Washington Post,"Publication of the complaint regarding the Zelensky call (""quid pro quo""), triggering the first impeachment.",Constitutional / Historic
2019-11-01,Ellison Family,Washington Times,"Review criticizing David Ellison's film for ""progressive pandering"" and killing John Connor. A warning against ""woke"" storytelling.",Critical / Warning
2019-12-29,Elon Musk,Washington Times,"Coverage of the design
studio unveil and transit
systems.","Coverage of the design
studio unveil and transit
systems."
2020-02-19,Ellison Family,Washington Times,"Larry Ellison hosts Trump fundraiser. Described as ""breaking the Silicon Valley Omerta"" and showing immense courage.",Heroic / Ideological
2020-05-01,Elon Musk,Washington Times,"Analysis of his
ideological shift; Joe
Rogan appearance.","Analysis of his
ideological shift; Joe
Rogan appearance."
2020-06-01,Donald Trump,Washington Post,Forensic reconstruction of clearing peaceful protesters with chemical irritants for a Bible photo op.,Authoritarian / Visual Forensic
2020-06-01,Elon Musk,Washington Times,"Musk's role in ""Space
Sensor Layer"" vs.
hypersonic missiles.","Musk's role in ""Space
Sensor Layer"" vs.
hypersonic missiles."
2020-09-30,Peter Thiel,Washington Post,"Coverage of the public offering framed as an ""Anti-Valley Manifesto."" Validates Thiel's focus on defense/intel over consumer tech.",Cultural / Declaration
2020-10-15,Peter Thiel,Washington Post,"Investigative reports on Palantir serving as the ""Immigration OS"" for deportations. Highlights tension between state efficiency and civil liberties.",Investigative / Controversial
2020-11-02,Donald Trump,Washington Times,"Podcast coverage arguing Trump is the ""only figure"" capable of holding the GOP coalition together. Framed the election as existential.",Existential / Urgent
2020-12-15,Ellison Family,Washington Times,Coverage of HQ move to Austin and Larry to Lanai. Celebrated as a victory for conservative governance and an indictment of California.,Vindicated / Triumphant
2021-01-01,Peter Thiel,Multiple Sources,"WaPo Narrative: Yarvin is the 'Architect'. Cited as evidence of a hidden, authoritarian syllabus behind the candidates; existential threat framing. | WashTimes Narrative: Yarvin is a 'Combatant' or 'Liability'. Mentioned largely to discuss electoral viability/baggage, not as a secret puppet master.",Unspecified
2021-01-03,Donald Trump,Washington Post,"Post publishes audio of Trump demanding Georgia officials ""find 11,780 votes."" Irrefutable evidence of election pressure.",Anti-Democratic / Revelatory
2021-01-06,Donald Trump,Washington Post,"Comprehensive coverage of the ""attempted coup"" and the ""Big Lie"" mechanism. Connected violence to months of rhetoric.",Alarmist / Accountability
2021-03-01,Peter Thiel,Multiple Sources,WaPo Narrative: 'Psychological Rupture'. Contextualizes Vance via 2016 'Never Trump' comments; frames new stance as betrayal of his 'reasonable' public persona. | WashTimes Narrative: 'Political Realignment'. Focuses on Vance's alignment with current voter sentiment; treats past comments as irrelevant to current utility.,Unspecified
2021-03-15,Peter Thiel,Washington Times,"Reports on the ""Peter Thiel network"" anointing J.D. Vance and Blake Masters. Described as ""grooming"" a New Right cadre.",Kingmaker / Strategic
2021-05-08,Elon Musk,Washington Times,"Coverage of his
mainstream cultural
appearance.","Coverage of his
mainstream cultural
appearance."
2021-06-24,Peter Thiel,Washington Post,"Explosive report (with ProPublica) revealing a tax-free fortune amassed via loophole. Framed as a symbol of ""Financial Singularity"" and inequality.",Scandalous / Systemic
2021-07-01,Peter Thiel,Multiple Sources,WaPo Narrative: Narrates a shapeshifting or cynical transformation. Key question: 'What happened to him?' | WashTimes Narrative: Narrates a maturation process. Key question: 'How can he win?',Unspecified
2022-02-07,Peter Thiel,Washington Post,"Thiel exits Facebook board to focus on ""political warfare"" (Midterms). Marks the end of his attempt to steer Big Tech from within.",Strategic / Pivot
2022-04-01,Elon Musk,Washington Times,"""GOP excited"" over","""GOP excited"" over"
2022-04-15,Peter Thiel,Multiple Sources,WaPo Narrative: Framed as 'corruption' or purchasing a candidate; emphasizes the 'Oligarch' narrative and 'The Thiel Buck'. | WashTimes Narrative: Framed as 'war chests' and 'resource mobilization'; emphasizes the shifting 'Donor Class'.,Unspecified
2022-04-27,Peter Thiel,Multiple Sources,"WaPo Narrative: Analyzes ads as proof of the chaotic, radicalizing nature of the primary; focuses on the 'ugliness' of infighting. | WashTimes Narrative: Reports on ads as standard tactical maneuvers; focuses on poll numbers and ad efficacy.",Unspecified
2022-05-03,Peter Thiel,Multiple Sources,WaPo Narrative: Treated as the triumph of a 'cynical' style of politics; a warning sign for the general election. | WashTimes Narrative: Treated as proof-of-concept for the National Conservative strategy; a victory for the anti-establishment wing.,Unspecified
2022-05-05,Ellison Family,Washington Times,"Larry Ellison contributes $1B to Musk's Twitter bid. Contextualized as the ""silent partner"" in the liberation of free speech.",Supportive / Alliance
2022-05-27,Ellison Family,Washington Times,"Euphoric review calling it an ""unapologetic masterpiece of American exceptionalism."" David Ellison praised for rejecting streaming to save theaters.",Euphoric / Patriotic
2022-08-02,Peter Thiel,Multiple Sources,WaPo Narrative: Victory of the 'Dark Enlightenment'. Heavy emphasis on Masters' connection to Yarvin and 'anti-democratic' ideas. | WashTimes Narrative: Victory of 'Anti-Establishment' vs 'Old Guard' (McConnell). Focuses on Masters as a fresh outsider.,Unspecified
2022-08-05,Peter Thiel,Washington Times,"Blake Masters wins primary. TWT frames it as a victory for the ""Trump-Thiel alliance"" over establishment GOP money.",Triumphant / Anti-Establishment
2022-08-08,Donald Trump,Washington Post,"Reporting on the FBI seizure of 300+ classified documents. Focused on ""obstruction"" regarding the return of files.",Serious / Legal Peril
2022-10-01,Peter Thiel,Multiple Sources,"WaPo Narrative: Highlights 'extreme' positions (Gun Violence, Social Security) to illustrate danger to norms. | WashTimes Narrative: Discusses positions as 'bold' or 'risky' differentiation strategies.",Unspecified
2022-11-08,Peter Thiel,Multiple Sources,"WaPo Narrative: 'Victory for Democracy'. The rejection of the 'weird' Thiel-right is seen as a moral correction by voters. | WashTimes Narrative: 'Tactical Failure'. Loss blamed on 'candidate quality' or funding, not an ideological repudiation.",Unspecified
2022-11-08,Peter Thiel,Multiple Sources,WaPo Narrative: Minimized or treated with dread. Seen as the successful 'capture' of a Senate seat by the network. | WashTimes Narrative: Successful 'Realignment'. Vance seen as the blueprint for future victories.,Unspecified
2022-12-20,Elon Musk,Washington Times,"""Give Elon Musk a
chance to fix Twitter.""","""Give Elon Musk a
chance to fix Twitter."""
2022-12-23,Elon Musk,Washington Times,"Rep. Johnson and
Jordan use Musk's files
to probe FBI.","Rep. Johnson and
Jordan use Musk's files
to probe FBI."
2023-01-01,Peter Thiel,Multiple Sources,WaPo Narrative: The network is 'Entrenched'. Focus on how they are burrowing into party machinery despite losses. | WashTimes Narrative: The network is 'Recalibrating'. Focus on lessons learned for 2024.,Unspecified
2023-05-22,Ellison Family,Washington Times,"Larry Ellison backs Tim Scott's Super PAC ($30M). Viewed as seeking a ""sunny, supply-side"" post-Trump conservatism.",Hopeful / Nuanced
2023-08-07,Elon Musk,Washington Times,"""Cage match"" proposal
and surgery delays.","""Cage match"" proposal
and surgery delays."
2023-10-15,Peter Thiel,Washington Post,"Reports link Thiel to FBI informant Charles Johnson. Paints a ""gray zone"" picture of Thiel's operation overlapping with federal intelligence.",Murky / Suspicious
2023-11-08,Donald Trump,Washington Times,"Coverage of GOP primary debates focusing entirely on the ""absent sovereign."" Other candidates dismissed as ""unviable"" understudies.",Dismissive / Inevitable
2024-01-15,Ellison Family,Washington Times,"Coverage of the ""David vs. Goliath"" deal to buy Paramount. Larry Ellison identified as the ""wallet"" making the restoration of legacy media possible.",Excited / Dynasty Building
2024-04-15,Ellison Family,Washington Post,"Reports focus on the friction between Skydance and Shari Redstone/Paramount. Detailed the complex ""dual-class"" hurdles.",Analytical / Tense
2024-04-15,Peter Thiel,Washington Times,"Op-eds defending Thiel against proposed ""unrealized gains"" taxes. Thiel used as the symbol of innovation threatened by tax overreach.",Defensive / Warning
2024-07-15,Ellison Family,Washington Post,"Reporting highlights Larry Ellison's crucial role as the financial ""engine"" providing the creditworthiness for the deal.",Investigative / Critical
2024-07-15,Peter Thiel,Multiple Sources,WaPo Narrative: 'Completion of the Capture'. The network has successfully installed an operative in the executive branch. | WashTimes Narrative: 'Generational Torch Pass'. Ensuring the longevity of the populist movement beyond Trump.,Unspecified
2024-10-06,Elon Musk,Washington Times,"Musk praises Trump
after assassination
attempt.","Musk praises Trump
after assassination
attempt."
2024-11-01,Elon Musk,Washington Times,"Musk central to the
transition team and
cabinet picks.","Musk central to the
transition team and
cabinet picks."
2024-11-06,Donald Trump,Washington Post,"Analysis of the historic win powered by demographic shifts (e.g., Hispanics in Miami-Dade). Framed as a failure of the ""unfit"" narrative.",Realignment / Analytical
2024-11-19,Donald Trump,Washington Times,"Podcast discussion on ""legislative acts of oblivion."" Argues for amnesty/forgetting regarding Jan 6 to avoid ""fracturing"" society.",Philosophical / Pragmatic
2024-11-20,Ellison Family,Washington Post,"Paramount pays $16M to settle Trump's defamation lawsuit. Described as a ""peace offering"" to clear regulatory paths.",Suspicious / Transactional
2025-01-01,Peter Thiel,Multiple Sources,WaPo Narrative: Change via 'Infiltration'. The Thiel network is a foreign virus entering the GOP host body. | WashTimes Narrative: Change via 'Competition'. The Thiel network is a startup disrupting a failing legacy firm.,Unspecified
2025-01-01,Peter Thiel,Multiple Sources,WaPo Narrative: Motivation is 'Resentment/Authoritarianism'. Driven by desire to dismantle democracy. | WashTimes Narrative: Motivation is 'Efficiency/National Survival'. Driven by desire to fix a broken country.,Unspecified
2025-01-15,Ellison Family,Washington Post,"Trump administration approves the merger. Critics cited by Post call it a ""corrupt reward"" for the settlement and support.",Damning / Alarmist
2025-01-31,Donald Trump,Washington Times,Reporting on the executive order to abolish birthright citizenship (14th Amendment). Framed as a necessary challenge to constitutional norms.,Aggressive / Nativist
2025-02-01,Peter Thiel,Washington Post,"Palantir stock drops as Trump admin cuts defense spending. The ""Kingmaker"" is ironically hit by the fiscal austerity of the regime he helped install.",Ironic / Volatile
2025-02-20,Peter Thiel,Washington Times,"Thiel listed as a ""spiritual godfather"" to the Department of Government Efficiency (Musk/Ramaswamy). The ""disruptor"" finally enters the bureaucracy.",Full Circle / Efficiency
2025-04-01,Elon Musk,Washington Times,"DOGE team shuts
down the center; mass
firings.","DOGE team shuts
down the center; mass
firings."
2025-05-01,Elon Musk,Washington Times,"Coverage of the
agency's demolition
and legal challenges.","Coverage of the
agency's demolition
and legal challenges."
2025-05-20,Donald Trump,Washington Times,"Historian Antony Beevor compares Trump's ""Trump 2.0"" style to Putin. Investigates the shift toward ""unrestrained executive power.""",Analytical / Strongman
2025-05-27,Donald Trump,Washington Times,"Deep dive into the ""Ideas Behind Trump 2.0."" Explicitly details the plan to dismantle the civil service and federal judiciary.",Radical / Disruptive
2025-05-30,Donald Trump,Washington Times,"Coverage claims Trump seeks peace in Ukraine/Middle East. Juxtaposes his ""strongman"" domestic tactics with a ""peacemaker"" global image.",Hopeful / Paradoxical
2025-06-06,Elon Musk,Washington Times,"Musk accuses Trump
of betraying spending
cut promises.","Musk accuses Trump
of betraying spending
cut promises."
2025-08-15,Donald Trump,Washington Post,"Analysis of the ""emergency"" declaration showing 80% of those arrested had no criminal record, contradicting ""violent gang"" rhetoric.",Data-Driven / Critical
2025-08-20,Ellison Family,Washington Times,"Paramount deal closes. The ""Redstone chaos"" is replaced by ""Ellison discipline."" Speculation begins on ""correcting"" CBS News bias.",Triumphant / Restorative
2025-08-20,Ellison Family,Washington Post,"Skydance takes control. David Ellison promises ""I do not want to politicize our company"" to calm staff fears.",Descriptive / Skeptical
2025-10-01,Peter Thiel,Washington Post,"Leaked audio of Thiel arguing that tech critics take the form of the ""Antichrist."" Reveals the theological/mystic dimension of his accelerationism.",Startling / Theological
2025-10-01,Elon Musk,Washington Times,"Fallout: Musk's SpaceX
excluded from ""Golden
Dome"" due to feud.","Fallout: Musk's SpaceX
excluded from ""Golden
Dome"" due to feud."
2025-10-10,Ellison Family,Washington Post,David Ellison buys Bari Weiss's 'The Free Press' for $150M. Weiss appointed EIC of CBS News.,Polarizing / Culture War
2025-11-15,Ellison Family,Washington Post,"Rumors of a bid for Warner Bros. Discovery (CNN) swirl. Reports note CNN staff are ""unsettled"" by prospect of Ellison control.",Anxious / Speculative
2025-12-02,Donald Trump,Washington Post,"Investigative report on covert strikes on Venezuelan drug boats. Defense Sec. Hegseth reportedly ordered ""no survivors"" amid fog of war.",Shocking / Fog of War
2025-12-05,Donald Trump,Washington Post,"CDC committee stacked with skeptics alters childhood vaccine schedule. Framed as a victory for RFK Jr.'s ""medical freedom"" movement.",Radical / Public Health Risk
2025-12-06,Ellison Family,Washington Post,"Skydance fails to acquire WBD. Post reports CNN staff feel ""relief"" at avoiding the ""culture clash"" seen at CBS.",Relieved / Analytical
,Elon Musk,Washington Post,First half of 2025,Unspecified
,Elon Musk,Washington Post,"Direct result of DOGE
operations",Unspecified
,Elon Musk,Washington Post,"Could have funded 5.3 million
families",Unspecified
,Elon Musk,Washington Post,"Waste was double the
President's cut package",Unspecified
,Elon Musk,Washington Post,"Cited as cause of failure in
governance",Unspecified
,Elon Musk,Washington Times,"Musk praised as a ""true
innovator"" and backer
of open-source AI
research.","Musk praised as a ""true
innovator"" and backer
of open-source AI
research."
,Elon Musk,Washington Times,Mars Ambitions,Mars Ambitions
,Elon Musk,Washington Times,DNC Convention,DNC Convention
,Elon Musk,Washington Times,to the withdrawal.,to the withdrawal.
,Elon Musk,Washington Times,Tax Reform,Tax Reform
,Elon Musk,Washington Times,"$885M award for rural
broadband (later
revoked).","$885M award for rural
broadband (later
revoked)."
,Elon Musk,Washington Times,"Musk becoming largest
shareholder.","Musk becoming largest
shareholder."
,Elon Musk,Washington Times,"Identified as largest
donor ($277M) of the
cycle.","Identified as largest
donor ($277M) of the
cycle."
,Ellison Family,Washington Post,WaPo reports on the friction between Skydance and Paramount (Shari Redstone).,
,Ellison Family,Washington Post,Reporting highlights Larry Ellison's crucial role as the financial backer of the deal.,
,Ellison Family,Washington Post,Paramount pays $16M to settle Trump's lawsuit.,
,Ellison Family,Washington Post,"Trump administration approves the merger. Critics call it a ""corrupt reward.""",
,Ellison Family,Washington Post,"Skydance takes control. David Ellison promises ""no politicization"" of CBS.",
,Ellison Family,Washington Post,David Ellison buys The Free Press for $150M; appoints Bari Weiss EIC of CBS News.,
,Ellison Family,Washington Post,Rumors swirl of a Skydance bid for Warner Bros. Discovery. CNN staff unsettled.,
,Ellison Family,Washington Post,Skydance fails to acquire WBD. CNN expresses relief at avoiding Ellison control.,
